,f1,f2,f3,f4,f5,f6,f7,f8
0,0.42,0.587717063,0.48,0.54,0.5,0,0.48,0.22
1,0.5,0.54,0.48,0.65,0.5,0.622735592,0.330331792,0.22
2,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25
3,0.51,0.51,0.52,0.51,0.589543512,0,0.54,0.22
4,0.53,0.54,0.43,0.145239039,0.5,0,0.57,0.32
5,0.51,0.51,0.43,0.191601081,0.5,0,0.52,0.22
6,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22
7,0.4,0.45,0.215445739,0.18,0.905828906,0,0.56,0.26
8,0.37,0.165755795,0.638833388,0.18,0.5,0,0.48,0.26
9,0.74,0.856626728,0.58,0.593602278,0.5,0,0.515333026,0.35
10,0.53,0.723462961,0.51,0.33,0.5,0,0.55,0.22
11,0.54,0.48,0.44,0.933607696,0.5,0,0.52,0.27
12,0.6,0.47,0.45,0.876218471,0.5,0,0.51,0.29
13,0.81,0.852158662,0.47,0.539148102,0.5,0,0.56,0.22
14,0.5,0.58,0.46,0.46,0.5,0.150928139,0.46,0.22
15,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22
16,0.67,0.62,0.545226293,0.43,0.5,0.83,0.5,0.22
17,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32
18,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22
19,0.36,0.43,0.39,0.12,0.585794739,0,0.49,0.706231931
20,0.65,0.65,0.52,0.16,0.5,0,0.338697616,0.22
21,0.47,0.47,0.982884398,0.48,0.5,0,0.119032953,0.22
22,0.35,0.52,0.48,0.22,0.5,0,0.26,0.352235498
23,0.54,0.55,0.34,0.31,0.5,0.26829118,0.54,0.22
24,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27
25,0.5,0.64,0.57,0.15,0.5,0,0.47,0.22
26,0.39,0.58,0.5,0.040373249,0.5,0,0.54,0.59
27,0.39,0.47,0.56,0.16,0.5,0,0.47,0.24334646
28,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22
29,0.43,0.57,0.53,0.16,0.5,0,0.09082142,0.22
30,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72
31,0.36,0.68,0.46,0.16,0.5,0.320731528,0.53,0.28
32,0.42,0.31,0.5,0.15,0.607996328,0,0.596888693,0.78842766
33,0.67,0.71,0.52,0.65,0.5,0,0.53,0.36
34,0.26,0.5,0.828127639,0.28,0.718522172,0,0.51,0.22
35,0.31,0.44,0.53,0.23,0.5,0.275237319,0.159929317,0.693791643
36,0.478572628,0.68,0.44,0.45,0.5,0,0.095536137,0.22
37,0.48,0.64,0.60950972,0.23,0.647855396,0,0.6,0.22
38,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22
39,0.42,0.58,0.41,0.669857324,0.5,0,0.725552624,0.26
40,0.59,0.61,0.34,0.22,0.5,0,0.51,0.805691281
41,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22
42,0.5,0.52,0.702746436,0.51,0.5,0,0.48,0.22
43,0.77,0.79,0.58,0.23,0.5,0,0.48,0.714510757
44,0.82,0.75,0.54,0.23,0.5,0,0.46,0.941367491
45,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22
46,0.42,0.57,0.72,0.766249977,0.5,0,0.57,0.22
47,0.853229132,0.53,0.52,0.682061884,0.5,0.83,0.51,0.22
48,0.59,0.58,0.56,0.21,0.5,0,0.54,0.81181819
49,0.27,0.36,0.6,0.33,0.910963568,0,0.37,0.31
50,0.189556424,0.4,0.59,0.22,0.5,0,0.47,0.37
51,0.83,0.58,0.33,0.04,0.5,0,0.53,0.268209394
52,0.810625968,0.771930139,0.5,0.21,0.5,0,0.48,0.3
53,0.55,0.46,0.828817818,0.11,0.5,0,0.52,0.48
54,0.92,0.61,0.4,0.22,0.5,0,0.359094894,0.22
55,0.55,0.485530123,0.45,0.14,0.5,0,0.54,0.22
56,0.63,0.61,0.41,0.22,0.5,0,0.51,0.22
57,0.34,0.38,0.45,0.19,0.5,0,0.51,0.22
58,0.77,0.8,0.51,0.723844399,1,0.09264754,0.54,0.22
59,0.57,0.61,0.97116144,0.260423817,0.5,0,0.5,0.22
60,0.25,0.660124016,0.62043502,0.18,0.5,0,0.5,0.769788455
61,0.54,0.57,0.52,0.19,0.5,0.207245907,0.59,0.67
62,0.796160272,0.52,0.4,0.17,0.5,0,0.5,0.26
63,0.91,0.77,0.34,0.47,0.5,0,0.52,0.31
64,0.205049995,0.90129313,0.51,0.52,0.5,0.742559695,0.49,0.874595684
65,0.69,0.6,0.5,0.351210303,0.5,0,0.55,0.22
66,0.55,0.66,0.57,0.786719681,0.5,0,0.57,0.34
67,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27
68,0.31,0.31,0.54,0.18,0.5,0,0.721145138,0.29
69,0.121425843,0.69,0.57,0.45,0.5,0,0.56,0.635923759
70,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27
71,0.146056319,0.31,0.538724403,0.13,0.5,0,0.52,0.22
72,0.58,0.48,0.56,0.53353307,0.5,0,0.46,0.25
73,0.58,0.83292698,0.56,0.12,0.992856161,0,0.46,0.25
74,0.58,0.45,0.48,0.24,0.5,0,0.52,0.37
75,0.41,0.6,0.53,0.29,0.5,0,0.47,0.43
76,0.69,0.5,0.49,0.42,0.5,0,0.49,0.22
77,0.21,0.288139336,0.49,0.16,0.5,0,0.222481024,0.45
78,0.46,0.57,0.57,0.15,0.5,0.214318019,0.52,0.393373522
79,0.57,0.59,0.5,0.58,0.5,0.49953938,0.53,0.22
80,0.928112508,0.42,0.62,0.14,0.5,0,0.55,0.394077804
81,0.39,0.39,0.237670136,0.52,0.5,0,0.37,0.093233663
82,0.51,0.48,0.58,0.495154906,0.5,0,0.5,0.28
83,0.53,0.53,0.53,0.17,0.5,0,0.49,0.751266477
84,0.178013518,0.34,0.388888452,0.17,0.5,0,0.52,0.32
85,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22
86,0.49,0.4,0.27629127,0.26,0.5,0,0.5,0.22
87,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22
88,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22
89,0.51,0.52,0.38282106,0.5,0.5,0,0.51,0.22
90,0.45,0.7799025,0.53,0.197886427,0.5,0,0.47,0.25
91,0.47,0.823217076,0.66,0.45,0.5,0,0.37,0.11
92,0.56,0.45,0.59,0.14,0.560126247,0,0.51,0.26
93,0.5,0.930364369,0.42,0.32,0.5,0,0.56,0.55
94,0.81,0.76,0.32,0.37,0.5,0,0.51,0.22
95,0.42,0.25,0.6,0.25850033,0.5,0.535317725,0.45,0.22
96,0.67,0.63,0.571680895,0.41,0.5,0,0.6,0.223747714
97,0.241101309,0.49,0.48,0.16,0.5,0.456605308,0.51,0.22
98,0.43,0.32,0.56,0.27,0.920214603,0.202317383,0.47,0.27
99,0.84,0.87,0.45,0.54,0.5,0.157449641,0.28,0.869540187
100,0.89,0.82,0.6,0.49,0.5,0,0.55,0.133169886
